iter	Passed	Remaining
0	1	194
1	3	179
2	7	255
3	9	226
4	11	223
5	13	216
6	16	216
7	18	217
8	20	210
9	22	206
10	25	204
11	26	193
12	28	190
13	30	188
14	32	186
15	34	180
16	36	177
17	37	172
18	39	167
19	40	163
20	43	162
21	44	159
22	46	155
23	48	154
24	50	151
25	52	148
26	53	145
27	55	143
28	57	140
29	58	137
30	60	134
31	62	132
32	63	129
33	65	127
34	67	124
35	69	123
36	71	122
37	73	119
38	75	117
39	76	114
40	78	112
41	78	108
42	80	106
43	81	104
44	83	101
45	84	99
46	86	97
47	88	95
48	89	93
49	90	90
50	91	88
51	93	86
52	95	84
53	97	83
54	99	81
55	100	79
56	102	77
57	104	75
58	107	74
59	109	72
60	111	71
61	113	69
62	115	67
63	116	65
64	119	64
65	121	62
66	122	60
67	124	58
68	126	56
69	127	54
70	128	52
71	130	50
72	131	48
73	133	46
74	134	44
75	136	43
76	137	41
77	138	39
78	139	37
79	140	35
80	141	33
81	143	31
82	144	29
83	145	27
84	146	25
85	147	24
86	149	22
87	150	20
88	151	18
89	152	16
90	153	15
91	154	13
92	155	11
93	156	10
94	157	8
95	158	6
96	159	4
97	160	3
98	161	1
99	163	0
